2026/07/15 20:54:53.891, 1, 37849 MiB, 2592 MiB, 94 %
2026/07/15 20:54:54.891, 0, 35261 MiB, 5180 MiB, 88 %
2026/07/15 20:54:54.892, 1, 37849 MiB, 2592 MiB, 91 %
2026/07/15 20:54:55.892, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:54:55.892, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:56.892, 0, 35261 MiB, 5180 MiB, 99 %
2026/07/15 20:54:56.893, 1, 37849 MiB, 2592 MiB, 96 %
2026/07/15 20:54:57.893, 0, 35261 MiB, 5180 MiB, 90 %
2026/07/15 20:54:57.893, 1, 37849 MiB, 2592 MiB, 90 %
2026/07/15 20:54:58.893, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:54:58.894, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:59.894, 0, 35261 MiB, 5180 MiB, 96 %
2026/07/15 20:54:59.894, 1, 37849 MiB, 2592 MiB, 97 %
2026/07/15 20:55:00.894, 0, 35261 MiB, 5180 MiB, 95 %
2026/07/15 20:55:00.894, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:55:01.894, 0, 35261 MiB, 5180 MiB, 89 %
2026/07/15 20:55:01.895, 1, 37849 MiB, 2592 MiB, 91 %
2026/07/15 20:55:02.895, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:55:02.896, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:55:03.896, 0, 35261 MiB, 5180 MiB, 95 %
2026/07/15 20:55:03.896, 1, 37849 MiB, 2592 MiB, 96 %
2026/07/15 20:55:04.896, 0, 35261 MiB, 5180 MiB, 90 %
2026/07/15 20:55:04.896, 1, 37849 MiB, 2592 MiB, 90 %
2026/07/15 20:55:05.896, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:55:05.897, 1, 37849 MiB, 2592 MiB, 95 %
2026/07/15 20:55:06.897, 0, 35261 MiB, 5180 MiB, 93 %
2026/07/15 20:55:06.897, 1, 37849 MiB, 2592 MiB, 97 %
2026/07/15 20:55:07.897, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:55:07.897, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:55:08.898, 0, 35261 MiB, 5180 MiB, 95 %
2026/07/15 20:55:08.898, 1, 37849 MiB, 2592 MiB, 79 %
2026/07/15 20:55:09.898, 0, 35261 MiB, 5180 MiB, 90 %
2026/07/15 20:55:09.898, 1, 37849 MiB, 2592 MiB, 96 %
2026/07/15 20:55:10.898, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:55:10.898, 1, 37849 MiB, 2592 MiB, 88 %
2026/07/15 20:55:11.899, 0, 35261 MiB, 5180 MiB, 96 %
