2026/07/15 20:50:46.819, 0, 33669 MiB, 6772 MiB, 97 %
2026/07/15 20:50:46.819, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:50:47.820, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:50:47.820, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:50:48.820, 0, 33669 MiB, 6772 MiB, 91 %
2026/07/15 20:50:48.820, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:50:49.820, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:50:49.821, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:50:50.821, 0, 33669 MiB, 6772 MiB, 97 %
2026/07/15 20:50:50.821, 1, 28591 MiB, 11850 MiB, 87 %
2026/07/15 20:50:51.821, 0, 33669 MiB, 6772 MiB, 91 %
2026/07/15 20:50:51.821, 1, 28591 MiB, 11850 MiB, 90 %
2026/07/15 20:50:52.821, 0, 33669 MiB, 6772 MiB, 88 %
2026/07/15 20:50:52.822, 1, 28591 MiB, 11850 MiB, 91 %
2026/07/15 20:50:53.822, 0, 33669 MiB, 6772 MiB, 98 %
2026/07/15 20:50:53.822, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:50:54.822, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:50:54.822, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:50:55.822, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:50:55.823, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:50:56.823, 0, 33669 MiB, 6772 MiB, 97 %
2026/07/15 20:50:56.823, 1, 28591 MiB, 11850 MiB, 95 %
2026/07/15 20:50:57.823, 0, 33669 MiB, 6772 MiB, 97 %
2026/07/15 20:50:57.824, 1, 28591 MiB, 11850 MiB, 92 %
2026/07/15 20:50:58.824, 0, 33669 MiB, 6772 MiB, 95 %
2026/07/15 20:50:58.824, 1, 28591 MiB, 11850 MiB, 90 %
2026/07/15 20:50:59.824, 0, 33669 MiB, 6772 MiB, 88 %
2026/07/15 20:50:59.824, 1, 28591 MiB, 11850 MiB, 88 %
2026/07/15 20:51:00.824, 0, 33669 MiB, 6772 MiB, 92 %
2026/07/15 20:51:00.825, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:01.825, 0, 33669 MiB, 6772 MiB, 97 %
